Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary,salary_min,salary_max,salary_avg,salary_type,salary_standardized,state,standardized_title,education_level,experience_level,job_level
Cryptologic Computer Scientist 2,Leidos,"Odenton, MD","Computer science, Operating systems, Calculus, Data structures, Research","bachelor, associate, master, education, degree, doctor","2 years, 5 years, 3 years, 7 years",,$126K - $228K (Employer est.),126000.0,228000.0,177000.0,yearly,177000.0,MD,Computer Scientist,3,3,
AI Research Scientist,Ribo Consulting Services Co. Ltd,Remote,"Mandarin, Computer science, MATLAB, Image processing, Data mining",phd,3+ years,,$160K (Employer est.),160000.0,160000.0,160000.0,yearly,160000.0,Remote,Research Scientist,4,2,
Computer Scientist,Federal Bureau of Investigation,"Houston, TX","Calculus, Leadership","bachelor, ph.d, education, graduate, doctor, degree, master","full years, two years",,$60K - $158K (Employer est.),60000.0,158000.0,109000.0,yearly,109000.0,TX,Computer Scientist,4,,
"Nonproliferation Research Scientist, Advanced",Savannah River National Laboratory,"Aiken, SC",,,,,$92K - $136K (Glassdoor est.),92000.0,136000.0,114000.0,yearly,114000.0,SC,Research Scientist,,,
Migration Research Fellow,United Nations Development Programme (UNDP),Remote,"English, Research, IV insertion, Analysis skills","bachelor, degree, education, master",,,,,,,unknown,,Remote,Other,3,,
Applied Scientist,Adobe,"San Jose, CA","Research, Machine learning, AI, Video editing, Communication skills","bachelor, degree, education, master",,,$143K - $258K (Employer est.),143000.0,258000.0,200500.0,yearly,200500.0,CA,Scientist,3,,
Advanced AI Research Scientist Manager,Accenture,"Mountain View, CA","TensorFlow, Statistics, Computer science, C++, Machine learning","bachelor, phd, degree","5 years, 12 years",,,,,,unknown,,CA,Research Scientist,4,4,
Cryptanalytic Computer Scientist 1,RealmOne,Maryland,"Computer science, Calculus, Encryption, Computer skills, Cybersecurity","bachelor, associate, degree, education","4 years, 2 years",,$80K - $130K (Employer est.),80000.0,130000.0,105000.0,yearly,105000.0,MD,Computer Scientist,2,2,
Computer Scientist,Adobe,"San Jose, CA","Photography, Adobe Photoshop, Adobe Lightroom, Computer vision, Mobile applications","b.s., m.s., phd, graduate, degree",,,$143K - $258K (Employer est.),143000.0,258000.0,200500.0,yearly,200500.0,CA,Computer Scientist,4,,
Cryptologic Computer Scientist 3,RealmOne,Maryland,"Computer science, Operating systems, Calculus, Data structures, Computer skills","b.s., m.s., phd, graduate, degree",,,$160K - $225K (Employer est.),160000.0,225000.0,192500.0,yearly,192500.0,MD,Computer Scientist,4,,
"Research Scientist, Computer Vision",Snapchat,"Los Angeles, CA","Statistics, Computer science, Computer vision, Research, C++",phd,equivalent years,,$147K - $259K (Employer est.),147000.0,259000.0,203000.0,yearly,203000.0,CA,Research Scientist,4,,
Applied Scientist - Gaming,Microsoft,"Redmond, WA","TensorFlow, Statistics, Computer science, Computer vision, Research",phd,equivalent years,,$98K - $209K (Employer est.),98000.0,209000.0,153500.0,yearly,153500.0,WA,Scientist,4,,
AI Research Scientist - Computer Vision,Meta,"Burlingame, CA","Statistics, Computer science, Computer vision, Research, Machine learning","bachelor, phd, associate, degree",,,$147K - $208K (Employer est.),147000.0,208000.0,177500.0,yearly,177500.0,CA,Research Scientist,4,,
AI Researcher,CardinalTalent,Remote,"TensorFlow, Software deployment, Research, C++, Machine learning",,,,$1M (Employer est.),1000000.0,1000000.0,1000000.0,yearly,1000000.0,Remote,Researcher,,,
"Research Scientist, Circuits - New College Grad 2025",NVIDIA,"Santa Clara, CA","Computer science, Electrical engineering, Product development, Communication skills",phd,,,$160K - $259K (Employer est.),160000.0,259000.0,209500.0,yearly,209500.0,CA,Research Scientist,4,,
Computer Scientist,BAE Systems,"Reston, VA","Computer science, Data mining, Analysis skills, Machine learning, Scrum","bachelor, education, graduate, degree, master","7+ years, 12+ years, 17+ years, 10+ years, 8+ years, 2 years, 3+ years",mid-level,$76K - $128K (Employer est.),76000.0,128000.0,102000.0,yearly,102000.0,VA,Computer Scientist,3,4,2
Music Generation Research Scientist,Adobe,"San Francisco, CA","Machine learning, AI, Communication skills","phd, degree, master",,,$162K - $301K (Employer est.),162000.0,301000.0,231500.0,yearly,231500.0,CA,Research Scientist,4,,
Principal Researcher - Computer Agent,Microsoft,"Redmond, WA","TensorFlow, Statistics, Computer science, Signal processing, Research","bachelor, doctorate, doctor, degree, master","7+ years, 6+ years, 9+ years, two years, 4+ years, 5+ years, 3+ years",,$138K - $294K (Employer est.),138000.0,294000.0,216000.0,yearly,216000.0,WA,Researcher,4,3,
"Research Scientist L4/L5, Algorithms Engineering",Netflix,Remote,"C#, Research, Host/hostess experience, Java, C++","phd, master",5+ years,,$100K - $720K (Employer est.),100000.0,720000.0,410000.0,yearly,410000.0,Remote,Research Scientist,4,2,
Senior Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, C#, Research, Java","bachelor, doctorate, doctor, degree, master","4+ years, 3+ years",Senior level,$117K - $229K (Employer est.),117000.0,229000.0,173000.0,yearly,173000.0,WA,Scientist,4,2,3
"Computer Vision Engineer, Reality Labs",Meta,Remote,"Computer science, Computer vision, R, C++, Machine learning","bachelor, phd, degree",3+ years,,$70.67 Per Hour (Employer est.),70.67,70.67,70.67,hourly,146993.6,Remote,Other Engineering,4,2,
AI Research Scientist,"South Park Investments, LLC","Denver, CO","Computer science, C#, System design, English, Research","ph.d, degree, education, master",3 years,,$125K - $165K (Employer est.),125000.0,165000.0,145000.0,yearly,145000.0,CO,Research Scientist,4,2,
Senior-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, Machine learning","ph.d, degree, education, master",3 years,Senior level,$115K - $165K (Glassdoor est.),115000.0,165000.0,140000.0,yearly,140000.0,VA,Computer Scientist,4,2,3
Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, Research, Natural language processing, Predictive analytics","bachelor, doctorate, ph.d, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",,$117K - $294K (Employer est.),117000.0,294000.0,205500.0,yearly,205500.0,WA,Scientist,4,3,
Polymathic AI Research Scientist,New York University,"New York, NY","Research, Machine learning, AI, Communication skills, Python","bachelor, doctorate, ph.d, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",,$120K - $250K (Employer est.),120000.0,250000.0,185000.0,yearly,185000.0,NY,Research Scientist,4,3,
"Research Scientist, Generative AI - Privacy",TikTok,"San Jose, CA","Computer science, Research, AI",phd,2 years,,$145K - $250K (Employer est.),145000.0,250000.0,197500.0,yearly,197500.0,CA,Research Scientist,4,1,
Computer Vision Scientist (multiple levels/openings),percipient.ai,"Santa Clara, CA","Computer vision, C++, Machine learning, Computer networking, Software development","ph.d, education","8+ years, 5 years, 2 years",,$155K - $300K (Employer est.),155000.0,300000.0,227500.0,yearly,227500.0,CA,Scientist,4,3,
Cryptologic Computer Scientist 2,RealmOne,Maryland,"Computer science, Operating systems, Calculus, Data structures, Computer skills","bachelor, associate, education, degree, master","5 years, 3 years, 7 years",,$120K - $185K (Employer est.),120000.0,185000.0,152500.0,yearly,152500.0,MD,Computer Scientist,3,3,
AI Security Scientist,Booz Allen,"Annapolis Junction, MD","TensorFlow, Statistics, Computer vision, Calculus, Google Cloud Platform","bachelor, degree, education",5+ years,,$97K - $220K (Employer est.),97000.0,220000.0,158500.0,yearly,158500.0,MD,Scientist,2,2,
Computer Scientist,Siertek Ltd,"Quantico, VA","Machine learning, NIST standards, Data analytics, RMF","associate, degree, master",5 years,,$71K - $120K (Glassdoor est.),71000.0,120000.0,95500.0,yearly,95500.0,VA,Computer Scientist,3,2,
Mid-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, Analysis skills, Machine learning","bachelor, degree, education","2 years, 6 years, option years, 10 years",mid-level,$64K - $103K (Glassdoor est.),64000.0,103000.0,83500.0,yearly,83500.0,VA,Computer Scientist,2,4,2
"Research Scientist, Design Automation - New College Grad 2025",NVIDIA,"Austin, TX","TensorFlow, C++, C, Machine learning, Scripting",ph.d,,,$160K - $259K (Employer est.),160000.0,259000.0,209500.0,yearly,209500.0,TX,Research Scientist,4,,
Linguist Technical Research Scientist,Peraton,"Silver Spring, MD","Data mining, Git, Research, SQL, Machine learning","phd, education","0 years, 5 years, 3 years, additonal years",,$112K - $179K (Employer est.),112000.0,179000.0,145500.0,yearly,145500.0,MD,Research Scientist,4,2,
Junior Engineer/Scientist,Concordia Technologies Inc.,"Huntsville, AL","MATLAB, Analysis skills, C++, Machine learning, Software development","bachelor, degree, graduate",,Junior level,$70K - $90K (Employer est.),70000.0,90000.0,80000.0,yearly,80000.0,AL,Scientist,2,,1
Research Scientist,"Patronus AI, Inc.",Remote,"Laboratory experience, Research, Machine learning, Natural language processing, AI",,,,,,,,unknown,,Remote,Research Scientist,,,
Computer Scientist II,JT4,"Las Vegas, NV","Oracle, Software troubleshooting, Relational databases, .NET Core, C#",,,,$59K - $95K (Glassdoor est.),59000.0,95000.0,77000.0,yearly,77000.0,NV,Computer Scientist,,,
Principal Scientist/Engineer- Field Ops (TS/SCI Clearance #25-025),"Strategic Analysis, Inc.","Arlington, VA","Jira, DoD experience, Microsoft Office, Confluence, Quality control","associate, degree, bachelor",7-10 years,,$102K - $153K (Glassdoor est.),102000.0,153000.0,127500.0,yearly,127500.0,VA,Scientist,2,4,
Research Scientist - Computer Vision - XR Tech Core AI,Meta,"Burlingame, CA","TensorFlow, Computer science, Computer vision, C++, C","bachelor, phd, degree",,,$177K - $251K (Employer est.),177000.0,251000.0,214000.0,yearly,214000.0,CA,Research Scientist,4,,
"Computer Scientist I, S1",The University of Alabama in Huntsville,Alabama,,"bachelor, degree",,entry level,$51K - $56K (Employer est.),51000.0,56000.0,53500.0,yearly,53500.0,AL,Computer Scientist,2,,1
Data Scientist - Computer Vision,Infosys,"Bentonville, AR","TensorFlow, Image processing, Azure, Computer vision, Software deployment","bachelor, degree, education","three years, 4 years",,$93K - $131K (Glassdoor est.),93000.0,131000.0,112000.0,yearly,112000.0,AR,Data Scientist,2,2,
"2025 Computer Scientist Opportunities in Las Vegas, NV",JT4,"Las Vegas, NV","Computer science, Systems engineering, Organizational skills, Software development, Computer skills","bachelor, associate, education, phd, certification, degree, master","six years, 10 years, eight years, two years, 16 years, four years, 14 years, 12 years","senior level, entry level",$53K - $90K (Glassdoor est.),53000.0,90000.0,71500.0,yearly,71500.0,NV,Computer Scientist,4,4,1
Computer Scientist,KBR,"Huntsville, AL","CI/CD, DevOps, Git, C++, C",degree,0-5 years,,$63K - $106K (Glassdoor est.),63000.0,106000.0,84500.0,yearly,84500.0,AL,Computer Scientist,,2,
Computer Scientist - Sr Level,"A3 Technology, Inc.","Egg Harbor Township, NJ","Statistics, Computer science, Visual Basic, Git, SQL","associate, bachelor, education, phd, doctor, degree, master","6 years, consecutive years, 16 years, 20 years",senior level,$70K - $113K (Glassdoor est.),70000.0,113000.0,91500.0,yearly,91500.0,NJ,Computer Scientist,4,4,3
Health Research Scientist,Meta,"New York, NY","Nutrition, Computer science, Physiology knowledge, Data analysis skills, Research","associate, bachelor, education, phd, doctor, degree, master","6 years, consecutive years, 16 years, 20 years",senior level,$177K - $251K (Employer est.),177000.0,251000.0,214000.0,yearly,214000.0,NY,Research Scientist,4,4,3
Computer scientist - Mid-level to Senior level,Bow Wave LLC,"Arlington, VA","Microsoft SQL Server, SSIS",,,Senior level,$115K - $125K (Employer est.),115000.0,125000.0,120000.0,yearly,120000.0,VA,Computer Scientist,,,3
Research Scientist,Orby AI,California,"Growing experience, Data structures, Machine learning, Natural language processing, AI",,4+ years,,$150K - $300K (Employer est.),150000.0,300000.0,225000.0,yearly,225000.0,CA,Research Scientist,,2,
Firefly.com Principal Scientist,Adobe,"San Jose, CA","CI/CD, Computer science, React, Test-driven development, JavaScript",,12+ years,,$190K - $351K (Employer est.),190000.0,351000.0,270500.0,yearly,270500.0,CA,Scientist,,4,
Applied Research Scientist,EdgeTech,"West Wareham, MA","MATLAB, Signal processing, FPGA, Scientific research, Research","m.s., degree, education",50 years,,$100K - $110K (Employer est.),100000.0,110000.0,105000.0,yearly,105000.0,MA,Research Scientist,3,4,
Junior Cryptanalytic Computer Scientist,GliaCell Technologies,"Linthicum Heights, MD","Microsoft Excel, DevOps, C++, Machine learning, Software development","m.s., degree, education",50 years,Junior level,$50K - $120K (Employer est.),50000.0,120000.0,85000.0,yearly,85000.0,MD,Computer Scientist,3,4,1
Applied Scientist II,Microsoft,"Redmond, WA","Statistics, C#, Research, Machine learning, Natural language processing","bachelor, doctorate, doctor, degree, master","2+ years, 3+ years, 5+ years, two years",,$98K - $209K (Employer est.),98000.0,209000.0,153500.0,yearly,153500.0,WA,Scientist,4,2,
"Fundamental AI Research Scientist, Language - FAIR",Meta,"New York, NY","Research, Machine learning, Natural language processing, AI, Python","ph.d, bachelor, degree, doctor",1+ years,,$117K - $173K (Employer est.),117000.0,173000.0,145000.0,yearly,145000.0,NY,Research Scientist,4,1,
"Computer Vision Engineer, Reality Labs",Meta,"Redmond, WA","Computer science, Computer vision, Machine learning, AI, Robotics","bachelor, phd, degree",,,$70.67 Per Hour (Employer est.),70.67,70.67,70.67,hourly,146993.6,WA,Other Engineering,4,,
Applied AI Research Scientist: AEC,Autodesk,"San Francisco, CA","French, TensorFlow, Mechanical engineering, Management, Research","graduate, phd, doctor, master",greater years,,$119K - $178K (Glassdoor est.),119000.0,178000.0,148500.0,yearly,148500.0,CA,Research Scientist,4,,
"Research Scientist, ASIC and VLSI - New College Grad 2025",NVIDIA,"Santa Clara, CA","Research, Electrical engineering, C++, C, Machine learning",ph.d,2+ years,,$160K - $259K (Employer est.),160000.0,259000.0,209500.0,yearly,209500.0,CA,Research Scientist,4,1,
"Research Scientist, Computer Vision",TikTok,"San Jose, CA","2D animation, Computer vision, Research, C++, C",ph.d,2+ years,,$194K - $410K (Employer est.),194000.0,410000.0,302000.0,yearly,302000.0,CA,Research Scientist,4,1,
"Applied Deep Learning Research Scientist, Sparsity",NVIDIA,"Santa Clara, CA","Computer science, Analysis skills, C++, Machine learning, Computer networking",ph.d,2+ years,,$160K - $299K (Employer est.),160000.0,299000.0,229500.0,yearly,229500.0,CA,Research Scientist,4,1,
Communications and Networking Scientist,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","Computer science, MATLAB, 5G, System design, C++","phd, degree, education, master",5+ years,,$90K - $230K (Employer est.),90000.0,230000.0,160000.0,yearly,160000.0,MD,Scientist,4,2,
"Fundamental AI Research Scientist, Computer Vision - FAIR",Meta,"Menlo Park, CA","Computer science, Computer vision, Laboratory experience, Machine learning, AI","bachelor, phd, degree","2+ years, 4+ years",,$147K - $208K (Employer est.),147000.0,208000.0,177500.0,yearly,177500.0,CA,Research Scientist,4,2,
Research Scientist - Speech,Zoom,"Seattle, WA","TensorFlow, Multilingual, Machine learning, Deep learning, Natural language processing",phd,5 years,,$143K - $313K (Employer est.),143000.0,313000.0,228000.0,yearly,228000.0,WA,Research Scientist,4,2,
Research Engineer,AppLovin,"Palo Alto, CA","Machine learning, AI",,"4 years, four years",,$137K - $205K (Employer est.),137000.0,205000.0,171000.0,yearly,171000.0,CA,Other Engineering,,2,
"Postdoctoral Researcher – Ocean Monitoring System Design, Marine Science Institute, UCSB",University of California Santa Barbara,"Santa Barbara, CA","ArcGIS, Scientific research, R, System design, Stata","ph.d, phd, doctor",seven years,,$67K - $77K (Employer est.),67000.0,77000.0,72000.0,yearly,72000.0,CA,Researcher,4,,
Energy Research Scientist - AI Trainer,DataAnnotation,"Madison, AL","Bilingual, English, AI","phd, master",,,$40.00 Per Hour (Employer est.),40.0,40.0,40.0,hourly,83200.0,AL,Research Scientist,4,,
Cryptanalytic Computer Scientist 1,"Prime Time Consulting, L.L.C","Fort Meade, MD","Computer science, Microsoft Office, Analysis skills, Communication skills","doctor, degree, education, doctorate","12 years, 6 years, 9 years, on years, 4 years, 2 years, 15 years",,$70K - $120K (Employer est.),70000.0,120000.0,95000.0,yearly,95000.0,MD,Computer Scientist,4,4,
Autonomy and Perception Engineer,"General Technical Services, LLC","Adelphi, MD","Research laboratory experience, MATLAB, Computer vision, Research, C++","phd, certification, education, master","5 years, 5+ years",,$47K - $82K (Glassdoor est.),47000.0,82000.0,64500.0,yearly,64500.0,MD,Other Engineering,4,2,
Principal Applied Scientist,Microsoft,"Redmond, WA","Statistics, Visio, Research, Presentation skills, Machine learning","bachelor, doctorate, doctor, degree, master","2+ years, 6+ years, 1+ years, 9+ years, two years, 4+ years, 5+ years, 3+ years",,$138K - $294K (Employer est.),138000.0,294000.0,216000.0,yearly,216000.0,WA,Scientist,4,3,
Junior Research Scientist (Pre-Doctoral Research Fellowship),New York University,"New York, NY","Statistics, Survey design, R, Research, Stata","bachelor, phd, graduate, degree, doctor",,Junior level,$50K - $60K (Employer est.),50000.0,60000.0,55000.0,yearly,55000.0,NY,Research Scientist,4,,1
Senior Software Engineer - Computer Vision,H-E-B,"Austin, TX","TensorFlow, Azure, Computer vision, System design, Google Cloud Platform","certification, degree",5+ years,Senior level,$127K - $171K (Glassdoor est.),127000.0,171000.0,149000.0,yearly,149000.0,TX,Software Engineer,,2,3
Computer Scientist,"INQU,LLC","Edwards AFB, CA","C#, Microsoft SQL Server, .NET, AWS, C","bachelor, associate, phd, degree, master","18 years, 15 years, 20 years",senior level,$110K - $170K (Employer est.),110000.0,170000.0,140000.0,yearly,140000.0,CA,Computer Scientist,4,4,3
Research Scholar ( ),New York University,"Brooklyn, NY","Statistics, Computer science, Machine learning","degree, master",2 years,,$30.00 Per Hour (Employer est.),30.0,30.0,30.0,hourly,62400.0,NY,Other,3,1,
"Research Scientist, Efficient Deep Learning - New College Grad 2025",NVIDIA,"Santa Clara, CA","Computer vision, Research, C++, Machine learning, Python",ph.d,,,$160K - $259K (Employer est.),160000.0,259000.0,209500.0,yearly,209500.0,CA,Research Scientist,4,,
LLM 算法工程师 - 中国,Ribo Consulting Services Co. Ltd,Remote,"TensorFlow, Computer vision, Data analysis skills, Docker, Deep learning","degree, master",5 years,,$4K - $7K (Employer est.),4000.0,7000.0,5500.0,yearly,5500.0,Remote,Other,3,2,
Research Scientist,Renaissance Technologies,"East Setauket, NY","Computer science, System design, Research","degree, master",5 years,,$185K - $224K (Employer est.),185000.0,224000.0,204500.0,yearly,204500.0,NY,Research Scientist,3,2,
Computer Scientist,U.S. Coast Guard,"New London, CT","Computer science, Management, Calculus, R, Machine learning","bachelor, education, certificate, certification, undergraduate, graduate, degree",5 years,senior level,$83K - $130K (Employer est.),83000.0,130000.0,106500.0,yearly,106500.0,CT,Computer Scientist,2,2,3
Computer Scientist (Public Notice),US Air Force Materiel Command,Alabama,"Computer science, Calculus, Writing skills, Organizational skills","bachelor, education, certificate, certification, graduate, degree","6 years, three years, 4 years, tax years, 2 years",,$56K - $91K (Employer est.),56000.0,91000.0,73500.0,yearly,73500.0,AL,Computer Scientist,2,3,
Principal Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, Big data, Software deployment, C#","bachelor, doctorate, doctor, degree, master","6+ years, 4+ years, 3+ years",,$138K - $267K (Employer est.),138000.0,267000.0,202500.0,yearly,202500.0,WA,Scientist,4,3,
Camera and Photos Image Scientist,Apple,"Cupertino, CA","Photography, Signal processing, Optics, Analysis skills, Algorithm design","ph.d, m.s., education",3+ years,,$143K - $264K (Employer est.),143000.0,264000.0,203500.0,yearly,203500.0,CA,Scientist,4,2,
"Software Engineer, Audio Applied Scientist",Meta,"Burlingame, CA","Computer science, MATLAB, Signal processing, System design, C++","bachelor, degree",2+ years,,$56.25 Per Hour (Employer est.),56.25,56.25,56.25,hourly,117000.0,CA,Software Engineer,2,1,
Research Scientist,Edgestream,"New York, NY",Machine learning,phd,,,$175K - $215K (Employer est.),175000.0,215000.0,195000.0,yearly,195000.0,NY,Research Scientist,4,,
Research Scientist,Amazon.com Services LLC,"Bellevue, WA","MATLAB, R, Machine learning, Scripting, Agile","phd, degree, master",4+ years,,$136K - $213K (Employer est.),136000.0,213000.0,174500.0,yearly,174500.0,WA,Research Scientist,4,2,
Senior Applied Scientist,Microsoft,"Redmond, WA","Statistics, C#, Research, Machine learning, Natural language processing","bachelor, doctorate, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",Senior level,$117K - $229K (Employer est.),117000.0,229000.0,173000.0,yearly,173000.0,WA,Scientist,4,3,3
Senior Autonomous Systems Research Scientist,Carnegie Mellon University,"Pittsburgh, PA","Writing skills, Research, C++, C, Machine learning","associate, phd, education","(8) years, (5) years, (10) years",Senior level,$90K - $136K (Glassdoor est.),90000.0,136000.0,113000.0,yearly,113000.0,PA,Research Scientist,4,4,3
Wireless Research Scientist,Apple,"Austin, TX","Signal processing, R, Research, Electrical engineering, Analysis skills",phd,"5+ years, 3+ years",,,,,,unknown,,TX,Research Scientist,4,2,
Research Scientist,Ataraxis AI,"New York, NY","Statistics, Survival analysis, Machine learning, Deep learning, Python","phd, degree, doctor",,,$120K - $210K (Employer est.),120000.0,210000.0,165000.0,yearly,165000.0,NY,Research Scientist,4,,
Senior Scientist,Uber,"San Francisco, CA","TensorFlow, Management, Software deployment, Data analysis skills, Git","bachelor, m.s., degree",5+ years,Senior level,$183K - $203K (Employer est.),183000.0,203000.0,193000.0,yearly,193000.0,CA,Scientist,3,2,3
Quantum Computer Scientist 1/2,Los Alamos National Laboratory,"Los Alamos, NM","Kubernetes, Writing skills, Laboratory experience, Git, Research","bachelor, associate, ph.d, education, degree, doctor","18 years, 4 years, 5 years, 2 years",,$94K - $139K (Glassdoor est.),94000.0,139000.0,116500.0,yearly,116500.0,NM,Computer Scientist,4,4,
Applied Scientist,DocuSign,"San Francisco, CA","TensorFlow, DocuSign, Machine learning, Product management, Deep learning","bachelor, education, phd, degree, master","5+ years, 3+ years",,$146K - $214K (Employer est.),146000.0,214000.0,180000.0,yearly,180000.0,CA,Scientist,4,2,
2025 BS/MS Graduate - Rotational Program - Discovery Program,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","Signal processing, Research, Classroom experience, AI, Leadership","b.s., m.s., education, graduate, degree",,,$85K - $160K (Employer est.),85000.0,160000.0,122500.0,yearly,122500.0,MD,Other,3,,
Post-doctoral Fellowship - Ground Deformation Recorded by Geodetic Techniques,FM,"Norwood, MA","ArcGIS, MATLAB, Data analysis skills, Research, Java","phd, education",three years,,$91K - $130K (Employer est.),91000.0,130000.0,110500.0,yearly,110500.0,MA,Other,4,,
Senior Computer Scientist II,Adobe,"Lehi, UT","Encryption, Microservices, Distributed systems, Agile","phd, education",three years,Senior level,$171K - $320K (Employer est.),171000.0,320000.0,245500.0,yearly,245500.0,UT,Computer Scientist,4,,3
Summer Associate- HHX,Howard Hughes,"The Woodlands, TX","TensorFlow, Git, Analysis skills, Machine learning, Software development","phd, education",three years,,$43K - $79K (Glassdoor est.),43000.0,79000.0,61000.0,yearly,61000.0,TX,Other,4,,
Health Research Scientist,Meta,"Burlingame, CA","Nutrition, Computer science, Physiology knowledge, Data analysis skills, Research","phd, degree, bachelor","8+ years, 5+ years",,$177K - $251K (Employer est.),177000.0,251000.0,214000.0,yearly,214000.0,CA,Research Scientist,4,3,
Temporary Researchers (Project Scientist Series) for Electrical and Computer Engineering,University of California Santa Barbara,"Santa Barbara, CA",Signal processing,phd,seven years,,$96K - $250K (Employer est.),96000.0,250000.0,173000.0,yearly,173000.0,CA,Researcher,4,,
Applied Research Scientist,"Advanced Micro Devices, Inc",New Jersey,"TensorFlow, Machine learning, AI, Communication skills, Python","phd, degree, master",,,,,,,unknown,,NJ,Research Scientist,4,,
Senior Computer Scientist,KBR,"Huntsville, AL","CI/CD, Kubernetes, DevOps, Git, Windows",degree,10-20 years,Senior level,$127K - $177K (Glassdoor est.),127000.0,177000.0,152000.0,yearly,152000.0,AL,Computer Scientist,,4,3
Senior Algorithm Scientist,Oura,"San Diego, CA","Signal processing, Git, Electrical engineering, C++, C","phd, degree","three years, five years, 3+ years",Senior level,$170K - $200K (Employer est.),170000.0,200000.0,185000.0,yearly,185000.0,CA,Scientist,4,2,3
Applied Mathematician / Math Research (PhD Req),"VOCAL Technologies, Ltd.","Buffalo, NY","Signal processing, Calculus, Research, Analysis skills, Math","phd, doctor, education, doctorate",38 years,,$60K - $90K (Employer est.),60000.0,90000.0,75000.0,yearly,75000.0,NY,Other,4,4,
Senior Project Computer Scientist,Healthtech Solutions,"Frankfort, KY","ASP.NET, Azure, Software deployment, DevOps, C#","degree, master",,Senior level,$69K - $109K (Glassdoor est.),69000.0,109000.0,89000.0,yearly,89000.0,KY,Computer Scientist,3,,3
"Proactive Intelligence, Applied Research Scientist - Generative AI",Apple,"Cupertino, CA","TensorFlow, Statistics, Software deployment, iOS, Research","m.s., phd, education","5 years, 5+ years",,$143K - $264K (Employer est.),143000.0,264000.0,203500.0,yearly,203500.0,CA,Research Scientist,4,2,
AI Research Scientist,Cognizant,"Mission, Los Angeles, CA","Research, Machine learning, AI, Communication skills",phd,3+ years,,$230K - $243K (Employer est.),230000.0,243000.0,236500.0,yearly,236500.0,CA,Research Scientist,4,2,
Senior Research Scientist,Leonardo.Ai,Remote,"Research, AI, Python","phd, education, master",,Senior level,,,,,unknown,,Remote,Research Scientist,4,,3
"Senior AI Scientist, Molecular Design - USA Remote",Danaher Corporation,"Austin, TX","Research, Machine learning, Data science, AI, Communication skills","associate, phd","7+ years, 25 years",Senior level,$180K - $225K (Employer est.),180000.0,225000.0,202500.0,yearly,202500.0,TX,Scientist,4,4,3
Research Scientist,ASAPP,"New York, NY","Research, Machine learning, Algorithm design, Natural language processing, AI","phd, education",,,$190K - $240K (Employer est.),190000.0,240000.0,215000.0,yearly,215000.0,NY,Research Scientist,4,,
"Applied Scientist, SPX AI Lab",Amazon.com Services LLC,"Seattle, WA","Data mining, Data structures, Java, C++, Machine learning","phd, degree, master","4+ years, 3+ years",,$136K - $223K (Employer est.),136000.0,223000.0,179500.0,yearly,179500.0,WA,Scientist,4,2,
Staff Applied Research Scientist,Descript,"San Francisco, CA","TensorFlow, Computer vision, Machine learning, Deep learning, Natural language processing","phd, degree, master",,,$190K - $300K (Employer est.),190000.0,300000.0,245000.0,yearly,245000.0,CA,Research Scientist,4,,
"Research Scientist, Intelligent Editing (Multimodality)",TikTok,"Seattle, WA","Computer vision, Research, C++, Content creation, C","phd, degree, master",,,$178K - $266K (Employer est.),178000.0,266000.0,222000.0,yearly,222000.0,WA,Research Scientist,4,,
Machine Learning Research Engineer - Computer Vision/Computational Photography,Apple,"Cupertino, CA","Photography, TensorFlow, Computer vision, C++, C","phd, education",,,$143K - $264K (Employer est.),143000.0,264000.0,203500.0,yearly,203500.0,CA,Data Scientist,4,,
"Research Engineer, Applied AI",Aleph,Remote,"Data structures, NetSuite, B2B, SaaS, AI",,,,$147K - $245K (Employer est.),147000.0,245000.0,196000.0,yearly,196000.0,Remote,Other Engineering,,,
"Principal Researcher - Deep Learning, Reinforcement Learning – Microsoft Research",Microsoft,"New York, NY","Computer science, Research, Machine learning, Research data collection, AI","doctor, doctorate","8+ years, 3+ years",,$138K - $267K (Employer est.),138000.0,267000.0,202500.0,yearly,202500.0,NY,Researcher,4,3,
Senior Research Scientist - Craft Education,Western Governors University,Tennessee,"Power BI, Microsoft Excel, Business intelligence, Software deployment, Qualitative research","education, certification, graduate, degree, master",7 years,Senior level,$107K - $165K (Employer est.),107000.0,165000.0,136000.0,yearly,136000.0,TN,Research Scientist,3,3,3
Research Scientist,HireIO,"San Francisco, CA","Computer science, Data mining, Laboratory experience, Java, C++",phd,,,$200K (Employer est.),200000.0,200000.0,200000.0,yearly,200000.0,CA,Research Scientist,4,,
