Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Data Scientist-Natural and Artificial Minds,Princeton University,"Princeton, NJ","Statistics, Machine learning, AI, Python","education, ph.d",N/A,N/A,$60K - $103K (Glassdoor est.)
Lead Data Scientist,Nexmeet,"San Jose, CA","TensorFlow, Statistics, Azure, Big data, Spark","master, education, bachelor","8 years, 8+ years",N/A,$160K - $250K (Employer est.)
Data Scientist,Elder Research,Maryland,"Data mining, R, SQL, AWS, Machine learning","degree, bachelor","3+ years, 30 years",N/A,N/A
Data Scientist,Reframe Systems,"Andover, MA","ArcGIS, Power BI, Business intelligence, Tableau, SQL",N/A,N/A,N/A,$84K - $126K (Glassdoor est.)
Data Scientist,Dezign Concepts LLC,"Chantilly, VA","Management, AWS, Splunk, SDKs, Customer relationship management",education,N/A,N/A,$210K (Employer est.)
Data Scientist/Engineer II,Washington Metropolitan Area Transit Authority,"Washington, DC","Computer science, Relational databases, R, Application development, SQL","master, certification, education, degree, bachelor, diploma",(4) years,N/A,$118K - $158K (Glassdoor est.)
Data Scientist,Secured,"Chantilly, VA","Jira, Authentication, Data modeling, Oracle, Management","associate, certification",20 years,N/A,N/A
Assoc Data Scientist,Bayer,"Chesterfield, MO","Oracle, Relational databases, Software deployment, R, Data analysis skills","master, degree, bachelor",2+ years,N/A,$93K - $136K (Glassdoor est.)
Data Scientist - Data Cycling Center,TikTok,"San Jose, CA","SQL, Project management, Machine learning, Product management, Data science","master, degree, bachelor",5 years,N/A,$114K - $200K (Employer est.)
"AIML - Data Scientist, Data and ML Innovation",Apple,"Seattle, WA","Computer science, Data structures, Spark, R, Data analysis skills","ph.d, education, b.s.","5 years, 8 years",N/A,$135K - $251K (Employer est.)
Sr. Data Scientist,BOTG LLC,"Piscataway, NJ","Statistics, MATLAB, Data mining, Big data, Spark","master, education, degree, bachelor","4-7 years, 5+ years, 7-10 years, 2+ years, 3+ years, 4+ years",N/A,$140K - $150K (Employer est.)
Cleared Data Scientist,Noblis,"Chantilly, VA","Jira, TensorFlow, Elasticsearch, Azure, Management","master, education, degree, bachelor","4-7 years, 5+ years, 7-10 years, 2+ years, 3+ years, 4+ years",N/A,$89K - $138K (Employer est.)
Data Scientist- Principal,"Clutch Group, Inc.","Jersey City, NJ","Statistics, Computer science, Power BI, Data mining, R","degree, bachelor",10+ years,N/A,$220K - $250K (Employer est.)
FBI Special Agent: Advanced Data & Intelligence Expertise,Federal Bureau of Investigation,United States,"Data mining, R, Analysis skills, Machine learning, Intelligence analysis","master, associate, education, degree",N/A,N/A,$99K - $128K (Employer est.)
Sr. Data Scientist,Pacific Life,"Newport Beach, CA","TensorFlow, Azure, Data mining, Software deployment, R","master, ph.d",5+ years,N/A,$148K - $181K (Employer est.)
"ADC Engineer II, AI/ML ADC","Amazon Development Center U.S., Inc.","Denver, CO","Computer science, System administration, System design, Process improvement, Windows",degree,3+ years,N/A,$105K (Employer est.)
Senior Data Scientist,ManTech,"Chantilly, VA","Azure, Relational databases, Data analysis skills, Databases, SQL","master, degree, certification, diploma","10+ years, 1 years",N/A,$122K - $164K (Glassdoor est.)
"Senior Data Scientist, Enterprise Data Delivery",PenFed Credit Union,"McLean, VA","SAS, R, Data analysis skills, SQL, Statistical analysis","degree, master, education, ph.d","1+ years, (4) years",N/A,N/A
"Systems Development Engineer II, AI/ML Amazon Dedicated Cloud","Amazon Development Center U.S., Inc.","Denver, CO","CI/CD, Computer science, Cloud infrastructure, Rust, Go","degree, bachelor",N/A,N/A,$116K (Employer est.)
Senior AI Engineer,Cognizant,"Dallas, TX","TensorFlow, Computer science, Quality assurance, Machine learning, Embedded software","master, degree, bachelor","3 years, 7 years, 5 years",N/A,$100K - $150K (Employer est.)
Specialist Auditors - Math (Full-Time),A Global Leader in AI Development,Remote,"Writing skills, English, Machine learning, AI, Communication skills",phd,N/A,N/A,$50.00 Per Hour (Employer est.)
"Sr. Data Analyst, Internal Audit SOX Analytics & Automation",Vanguard,"Chesterbrook, PA","Power BI, Microsoft SQL Server, SOX, Tableau, SQL",phd,N/A,N/A,$94K - $143K (Glassdoor est.)
AI/Machine Learning Engineer,Oddball,Remote,"TensorFlow, CI/CD, Azure, FedRAMP, Medicare","certificate, master, certification, education, degree, bachelor, ph.d","3+ years, 4 years, 7+ years",N/A,$140K - $170K (Employer est.)
Data Scientist Ongoing Talent Pipeline,V2X,United States,"SAS, Machine learning, Predictive analytics, AI","associate, certification","120 years, (3-7 years, (7+ years, (0-3 years",mid-level,N/A
"Data Scientist, Ambulatory Transformation & Performance",UCLA Health,"Los Angeles, CA","Data modeling, Azure, Data mining, DevOps, R","associate, certification","120 years, (3-7 years, (7+ years, (0-3 years",mid-level,$103K - $228K (Employer est.)
"Data Scientist, Experimentation",Stitch Fix,Remote,"Go, Big data, Spark, E-commerce, SQL","phd, master, degree",3-5+ years,N/A,$154K - $226K (Employer est.)
Senior Data Scientist (Remote - US Based),Age of Learning,Remote,"Spanish, Data analysis skills, SQL, Machine learning, Mentoring","degree, master, education, ph.d",8+ years,N/A,$140K - $170K (Employer est.)
Scientific Programmer/Data Scientist,University of Minnesota,"Minneapolis, MN","Statistics, MATLAB, R, Research, SQL","graduate, m.a., undergraduate, m.s.",more years,N/A,N/A
ETL Analyst/Data Scientist,The University of Chicago Medicine,"Chicago, IL","SAS, Data structures, R, SQL, ICD-9","phd, master, certification",2-5 years,N/A,$138K - $185K (Employer est.)
Data Scientist,"University of California, Irvine","Irvine, CA","Statistical software, Power BI, Data mining, Business intelligence, SAS","graduate, degree, undergraduate","seven years, 5 years",N/A,$85K - $157K (Employer est.)
Logistics Data Scientist,Swain Techs,"Philadelphia, PA","Data modeling, R, Logistics, SQL, Analysis skills","graduate, degree, undergraduate","seven years, 5 years",N/A,$100K - $140K (Employer est.)
AI/ML Engineer (TS/SCI) {S},"ARKA Group, L.P.","King of Prussia, PA","TensorFlow, Computer science, Software deployment, C#, Research","phd, education, degree",2+ years,N/A,$86K - $200K (Employer est.)
AI Solutions Architect,Isaacson Foundation,"Gallatin, TN","TensorFlow, R, Data analysis skills, Tableau, Java","master, education, degree, bachelor","2 years, (3+ years",N/A,$95K - $120K (Employer est.)
Data Scientist,Apple,"Sunnyvale, CA","Computer vision, Data analysis skills, SQL, AWS, Analysis skills",education,3 years,N/A,$143K - $264K (Employer est.)
"Data Scientist 5 - Nashville, TN",Oracle,United States,"Data mining, Data structures, Spark, R, Apache Hive","master, degree",5+ years,N/A,N/A
Data Scientist,Apple,"Austin, TX","Kubernetes, Relational databases, Tableau, Docker, Machine learning","master, degree",5+ years,N/A,$124K - $177K (Glassdoor est.)
Video Content Data Scientist,Apple,"Culver City, CA","Spark, SQL, Machine learning, Distributed systems, Data science","education, degree, bachelor",2 years,N/A,$130K - $236K (Employer est.)
Data Scientist,Berkshire Residential Investments,"Boston, MA","Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel","master, education, degree, bachelor","more years, 3-5 years",N/A,$96K - $142K (Glassdoor est.)
"AIML - Data Scientist, Data and ML Innovation",Apple,"Seattle, WA","Data structures, Spark, Data analysis skills, Application development, SQL",education,N/A,N/A,$135K - $251K (Employer est.)
Predictive Analytics Modeler,LegalMatch,"Reno, NV","Data mining, SAS, Relational databases, Data structures, R","education, bachelor","equivalent years, 1 years",N/A,$50K - $60K (Employer est.)
"Data Scientist, Product Analytics (PhD)",Meta,"New York, NY","Computer science, Data mining, R, Apache Hive, SQL","phd, degree, ph.d, bachelor",N/A,N/A,$114K - $171K (Employer est.)
Data Scientist,CARFAX,"Columbia, MO","Statistics, Data mining, Spark, R, SQL","master, degree",4+ years,N/A,$88K - $128K (Glassdoor est.)
Sr. Data Scientist II,Pacific Life,"Newport Beach, CA","TensorFlow, Underwriting, SQL, Machine learning, Communication skills","master, degree",4+ years,N/A,$120K - $154K (Glassdoor est.)
Data Scientist,Astrix Technology Group,"Bethesda, MD","Statistics, Data mining, SAS, Machine learning, Communication skills","degree, master, ph.d","(3) years, (5) years",N/A,$85K - $115K (Employer est.)
Marketing Analytics - Data Scientist II - Hybrid,Unum,"Columbia, SC","Statistics, Data mining, DB2, Customer service, DevOps","master, education, bachelor",4+ years,N/A,$73K - $151K (Employer est.)
Senior Data Scientist,CARFAX,"Columbia, MO","Statistics, Data mining, Spark, R, Google Cloud Platform","master, education, bachelor",4+ years,N/A,$121K - $157K (Glassdoor est.)
Manager Data Science,Capital One,"Richmond, VA","Relational databases, Spark, R, Data analysis skills, Databases","master, education, degree, bachelor, phd, associate","4 years, 3 years, 2 years, few years, 6 years",N/A,N/A
NLP Data Scientist,Brilliant Staffing LLC,"Chicago, IL","SQL, Project management, Sentiment analytics, Machine learning, Natural language processing","education, master, ph.d",3 years,N/A,$170K - $185K (Employer est.)
GEOINT Data Scientist,ManTech,"Tampa, FL","Statistical software, Data mining, Writing skills, Regression analysis, Intelligence experience","master, certification, education, degree, bachelor, phd, associate","2 years, 10+ years, 3 years, 0.5 years",N/A,$84K - $117K (Glassdoor est.)
Data Scientist,Medicalink Recruiters,"Fort Meade, MD","TensorFlow, Statistics, Writing skills, R, Microsoft Office","education, master, degree, bachelor",3 years,N/A,$151K - $180K (Employer est.)
Machine Learning Operations Data Engineer IV,FM,"Johnston, RI","CI/CD, Azure, Kubernetes, Software deployment, DevOps","degree, bachelor","more years, 6+ years, 3 years, 8+ years",N/A,$114K - $164K (Employer est.)
AI Data Engineer,"Partners Consulting, Inc.","Folsom, NJ","XML, SOAP, SQL, Machine learning, JavaScript",N/A,3-5 years,N/A,$88K - $124K (Glassdoor est.)
Staff Clinical Research Data Scientist - Remote,Dexcom,Remote,"MATLAB, Data mining, Statistical analysis, Analysis skills, Machine learning","master, education, degree, bachelor, phd","25 years, 2-4 years, 5-7 years, 8-12 years",N/A,$142K - $236K (Employer est.)
TikTok Shop - Data Scientist - US Operations,TikTok,"Seattle, WA","R, E-commerce, SQL, Data science, Communication skills","phd, associate, degree, bachelor",3 years,N/A,$168K - $313K (Employer est.)
Data Scientist,Seal Dynamics LLC,"Hauppauge, NY","Power BI, C#, MRP, Java, SQL","phd, associate, degree, bachelor",3 years,N/A,$90K - $110K (Employer est.)
Data Scientist III,f5,"San Jose, CA","Load balancing, SQL, C, Machine learning, Python","phd, associate, degree, bachelor",3 years,N/A,$185K - $211K (Employer est.)
Data Scientist 2,Baylor Scott & White Health,Remote,"TensorFlow, Azure, Machine learning, Deep learning, Organizational skills","master, education, degree, bachelor, phd","2 years, 5+ years, 5 years",N/A,$47.41 Per Hour (Employer est.)
Data Scientist,Brillient Corporation,"Washington, DC","Computer science, Power BI, Data modeling, Microsoft Excel, Business intelligence","master, education, degree, bachelor, phd","2 years, 5+ years, 5 years",N/A,N/A
"Data Scientist, Monetization",Character.AI,"Menlo Park, CA","Live chat, Microsoft Excel, Social media management, Leadership","master, education, degree, bachelor, phd","2 years, 5+ years, 5 years",N/A,$150K - $250K (Employer est.)
Senior Data Scientist (Insights),WHOOP,"Boston, MA","Software deployment, SQL, Machine learning, Communication skills, Python","master, degree, bachelor",5+ years,N/A,N/A
Data Scientist - Executive Liability Division,Great American Insurance Company,"Schaumburg, IL","TensorFlow, Power BI, Microsoft Excel, Data mining, R","master, certification, education, degree, bachelor",3 years,N/A,$100K - $120K (Employer est.)
Senior Data Scientist,Cohere Health,Remote,"Statistics, Elasticsearch, Data mining, Spark, R",degree,"four years, 5+ years",N/A,$120K - $145K (Employer est.)
Data Scientist,Safelite Group,"Columbus, OH","Statistics, Pricing, Microsoft Excel, Supply chain, R","associate, degree, bachelor",1-3 years,N/A,$92K - $124K (Glassdoor est.)
Sr. Data Scientist,Compile,"Irving, TX","Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Big data","master, education, degree, bachelor, ph.d",7+ years,N/A,$130K - $217K (Employer est.)
Visualization/Data Scientist,Vita Data Sciences,"Waltham, MA",Tableau,"degree, bachelor","1+ years, 2 years, 2-5 years",N/A,$88K - $142K (Glassdoor est.)
Data Scientist - Insurance Modeling,Allstate,United States,"Statistics, Management, SAS, R, Microsoft Office","graduate, associate, degree, bachelor","90 years, several years",N/A,$74K - $134K (Employer est.)
Data Scientist II,Caterpillar,"Chicago, IL","SQL, Data management, Data science, Quantitative analysis, Communication skills","associate, master, degree, bachelor","2 years, 5 years",N/A,$139K - $155K (Employer est.)
Data Scientist - TikTok E-commerce Governance,TikTok,"Seattle, WA","TensorFlow, Spark, R, E-commerce, SQL",degree,2+ years,N/A,$124K - $179K (Employer est.)
Senior Data Scientist,LiveRamp,"Seattle, WA","Statistics, Relational databases, Git, Google Cloud Platform, Databases",degree,2+ years,N/A,$146K - $185K (Employer est.)
Sr. Data Analyst,Bank of America,"New York, NY","Program management, GPS, Data management, Relationship management, Communication skills",degree,2+ years,N/A,$105K - $135K (Employer est.)
Data Scientist,"Signature Science, LLC","Egg Harbor Township, NJ","Statistics, MATLAB, Data mining, R, Git","certificate, master, education, degree, ph.d",N/A,junior level,$85K - $134K (Glassdoor est.)
Senior Data Scientist | Commodities,Macquarie Group Limited,"Houston, TX","Power BI, Google Cloud Platform, AWS, Data analytics, Data visualization","phd, associate, master, bachelor","55 years, 5+ years",N/A,$112K - $162K (Glassdoor est.)
FBI Special Agent: Data Science & Intelligence Expertise,Federal Bureau of Investigation,United States,"Internet of things, Big data, Predictive analytics, Data science","master, associate, education, degree",N/A,N/A,$99K - $128K (Employer est.)
Senior Machine Learning Engineer,ASML,"San Diego, CA","TensorFlow, Computer vision, Customer service, Analysis skills, Machine learning","phd, education, certification",5 years,N/A,$144K - $240K (Employer est.)
Principal Data Scientist,Capital One,"McLean, VA","Relational databases, Spark, R, Data analysis skills, Databases","master, education, degree, bachelor, phd, associate","few years, 3 years, 5 years",N/A,N/A
Statistician,Sciome LLC,"Research Triangle Park, NC","MATLAB, Data mining, SAS, Writing skills, R","phd, master, education, degree",2 years,N/A,$33.00 - $39.00 Per Hour (Employer est.)
Senior Data Analyst,US Renal Care,"Plano, TX","Microsoft Powerpoint, Power BI, Microsoft Excel, Microsoft Outlook, Dialysis","master, degree",(4+) years,N/A,N/A
AI Solutions Engineer,Amica Mutual Insurance Company,"Lincoln, RI","TensorFlow, Kanban, Java, AWS, Analysis skills","education, master, degree, bachelor","3+ years, 40 years",N/A,$91K - $128K (Glassdoor est.)
Senior Data Scientist,ManTech,"Chantilly, VA","Azure, Relational databases, Data analysis skills, Databases, SQL","master, degree, certification, diploma","10+ years, 1 years",N/A,$122K - $164K (Glassdoor est.)
Gen AI Data Scientist / Sr Data Scientist,The Hartford,"Hartford, CT","Cloud architecture, Git, OOP, Natural language processing, Agile","master, degree, certification, diploma","10+ years, 1 years",N/A,$90K - $166K (Employer est.)
Graduate Research Assistant - AI/NLP Specialist for QEP Initiative,University of the Incarnate Word,"San Antonio, TX","TensorFlow, Qualitative research, Research, Machine learning, Natural language processing","graduate, certification, education, degree, bachelor",N/A,N/A,$15.00 Per Hour (Employer est.)
"Systems Development Engineer II, AI/ML Amazon Dedicated Cloud","Amazon Development Center U.S., Inc.","Denver, CO","CI/CD, Computer science, Cloud infrastructure, Rust, Go","degree, bachelor",N/A,N/A,$116K (Employer est.)
AI Engineer,Booz Allen,"Ashburn, VA","Sage, Azure, Cloud architecture, FedRAMP, Big data","certification, education, degree, bachelor","10+ years, 4+ years",N/A,$110K - $250K (Employer est.)
Machine Learning Engineer,Howmet Aerospace,"Whitehall, MI","Power BI, Microsoft Excel, SAS, R, Tableau","phd, degree","2 years, 5+ years",N/A,$67K - $108K (Glassdoor est.)
"Data Science, Advisor",Peraton,"Chantilly, VA","Lucene, CI/CD, XML, Big data, Data analysis skills","phd, certificate","6 years, 3 years, 8 years",N/A,$135K - $216K (Employer est.)
Senior Artificial Intelligence Programmer - VP,"MUFG Bank, Ltd.","Tampa, FL","TensorFlow, Azure, Data structures, R, Java","master, education, degree, bachelor, associate",5 years,N/A,$145K - $182K (Employer est.)
"Sr. Data Scientist, People Analytics",Adobe,"San Jose, CA","R, SQL, Analysis skills, Machine learning, Regression analysis",N/A,9+ years,N/A,$146K - $276K (Employer est.)
Data Scientist: Opportunities - PhD - Redmond,Microsoft,"Redmond, WA","Statistics, C#, Research, Analysis skills, Perl","master, doctor, degree, bachelor, phd, doctorate","3+ years, 5+ years",N/A,$98K - $209K (Employer est.)
Data Scientist,SDG Group,"Chicago, IL","Machine learning, Data science, AI","master, doctor, degree, bachelor, phd, doctorate","3+ years, 5+ years",N/A,$93K - $124K (Glassdoor est.)
"Data Scientist - Tiktok Ads, Ads Measurement",TikTok,"Seattle, WA","R, Apache Hive, SQL, Analysis skills, Scripting",degree,3+ years,N/A,$145K - $281K (Employer est.)
Data Scientist,Integral Ad Science,"New York, NY","R, SQL, Supervising experience, Deep learning, Scripting","phd, master, education",3-5 years,N/A,$89K - $152K (Employer est.)
Data Scientist,Inmar,Remote,"TensorFlow, Computer science, Kubernetes, Data structures, Spark","master, education, degree, phd, associate","2 years, 5+ years",N/A,N/A
Junior Data Scientist,Grit Government Solutions,"Springfield, VA","Elasticsearch, Data mining, Spark, R, Apache Hive","master, education, degree, phd, associate","2 years, 5+ years",N/A,$90K - $108K (Employer est.)
Data Scientist,Millicom,"Mora, LA","SQL, Python",N/A,N/A,N/A,$61K - $114K (Glassdoor est.)
Data Scientist,The Swift Group,"Reston, VA","TensorFlow, Power BI, R, Tableau, SQL","education, degree",8+ years,N/A,N/A
Data Scientist,Steampunk,"McLean, VA","ArcGIS, TensorFlow, Elasticsearch, Power BI, Data modeling","education, degree, bachelor","3+ years, 5+ years",N/A,$125K - $160K (Employer est.)
Data Scientist,Iron EagleX,"Hurlburt Fld, FL","Management, R, Java, C++, Data science","master, certification, education, degree, bachelor",N/A,N/A,$83K - $125K (Glassdoor est.)
ML/AI Engineers,Adidev Technologies Inc,"Austin, TX","TensorFlow, CI/CD, Data modeling, Microsoft Excel, Kubernetes",degree,good years,N/A,$121K - $188K (Glassdoor est.)
Data Scientist,University of California San Francisco,"San Francisco, CA","Rust, Go, Biostatistics, Data structures, R",degree,good years,N/A,$103K - $163K (Glassdoor est.)
Data Scientist,ASSA ABLOY,"Eden Prairie, MN","TensorFlow, Encryption, Patent law, Google Cloud Platform, AWS","graduate, certification, education, associate, m.s.",2+ years,N/A,$103K - $119K (Employer est.)
Data Scientist,WALGREENS,"Deerfield, IL","Statistics, Data mining, Survey design, Spark, R","graduate, degree, bachelor",2 years,N/A,$99K - $158K (Employer est.)
"Assistant Vice President, Marketing Analytics & Data Science",Navy Federal Credit Union,"Vienna, VA","Data mining, Word processing, Business development, Analysis skills, Supervising experience","master, education, degree, bachelor",N/A,N/A,$125K - $179K (Glassdoor est.)
Data Scientist / ML Architect @Deep Learning Analytics,"General Dynamics Mission Systems, Inc","Scottsdale, AZ","TensorFlow, Kubernetes, DevOps, Git, Docker","certification, master, degree, bachelor",2+ years,N/A,$112K - $124K (Employer est.)
Marketing Analytics - Data Scientist II - Hybrid,Unum,"Columbia, SC","Statistics, Data mining, DB2, Customer service, DevOps","master, education, bachelor",4+ years,N/A,$73K - $151K (Employer est.)
Data Scientist,redShift Recruiting LLC,"Albany, NY","Azure, SAS, R, Enterprise architecture, Statistical analysis","education, master, degree","3+ years, 4-8 years, 4 years, 100 years",N/A,$100K - $130K (Employer est.)
NLP Data Scientist,Brilliant Staffing LLC,"Chicago, IL","SQL, Project management, Sentiment analytics, Machine learning, Natural language processing","education, master, degree","3+ years, 4-8 years, 4 years, 100 years",N/A,$170K - $185K (Employer est.)
"Director of Data Science, Emerging Technology & Innovation",The Hartford,"Hartford, CT","CI/CD, Computer science, Oracle, Management, Google Cloud Platform","phd, education, master, degree","3+ years, 7+ years, 3 years",N/A,$153K - $230K (Employer est.)
Senior AI Engineer,Capital One,"New York, NY","Azure, Go, C#, Google Cloud Platform, Java","master, education, degree, bachelor, associate","3 years, 4 years, for years",N/A,N/A
